"","Name","Season","PA","BA","OBP","SLG","R","RBI","Single","Double","Triple","HR","SB","CS","BB","IBB","K","DP","HBP","SH","SF","ServiceTime","PreBreakout"
"1","Takahama, Yuto","2017",12,0.182,0.25,0.182,0,0,2,0,0,0,0,0,1,0,5,0,0,0,0,2,"0"
"2","Takahama, Yuto","2020",23,0.316,0.381,0.316,4,0,6,0,0,0,0,0,2,0,6,0,0,2,0,3,"0"
"3","Takahama, Yuto","2021",404,0.262,0.305,0.39,34,43,66,21,1,8,2,0,23,1,82,10,1,11,2,4,"0"
"4","Takayama, Shun","2016",530,0.275,0.316,0.391,48,65,100,23,5,8,5,4,27,1,109,8,4,2,3,1,"0"
"5","Takayama, Shun","2017",353,0.25,0.3,0.369,40,24,58,15,3,6,6,3,21,0,77,3,3,0,1,2,"0"
"6","Takayama, Shun","2018",134,0.172,0.201,0.234,8,14,16,5,0,1,0,1,4,0,22,4,1,0,1,3,"0"
"7","Takayama, Shun","2019",300,0.269,0.336,0.369,25,29,56,12,0,5,9,3,24,4,56,3,3,2,0,4,"0"
"8","Suzuki, Kyo","2024",4,0.5,0.5,0.5,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,"0"
"9","Suzuki, Kyo","2025",6,0.333,0.333,0.333,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,2,"0"
"10","Ishikawa, Shingo","2016",28,0.074,0.074,0.074,0,1,2,0,0,0,0,0,0,0,5,1,0,1,0,4,"0"
"11","Ishizuka, Soichiro","2024",40,0.194,0.333,0.29,2,6,5,0,0,1,0,0,3,0,10,0,4,0,1,1,"0"
"12","Ishizuka, Soichiro","2025",60,0.236,0.3,0.309,4,6,9,4,0,0,0,0,1,0,17,2,4,0,0,2,"0"
"13","Arizono, Naoki","2022",7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,"0"
"14","Arizono, Naoki","2023",5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,"0"
"15","Arizono, Naoki","2025",35,0.226,0.286,0.29,3,3,5,2,0,0,0,0,2,0,12,1,1,0,1,3,"0"
"16","Togawa, Daisuke","2019",25,0.174,0.24,0.348,3,1,2,1,0,1,0,1,2,0,4,0,0,0,0,1,"0"
"17","Togawa, Daisuke","2020",9,0.111,0.111,0.111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,"0"
